Lien,Numéro Brevet,Titre,Date de publication,Mots-clés,Description,Domaine Technologique,Inventeurs,Titulaire du brevet,Statut du brevet
https://patents.google.com/patent/US10318779B2,US10318779B2,"Systems and methods for robust protection of item authentication, tracking and tracing against tag duplication",2018-04-27,"Systems, methods, for, facilitating, tag, authenticity, validation., methods","
     Systems and methods for facilitating tag authenticity validation. The methods comprise: detecting a tag's arrival/presence at a waypoint along a supply chain path; obtaining a ChainStart Value and a first ChainEnd Value from the tag; generating a public key and a private key; transforming the first ChainEnd Value into a second ChainEnd Value using the private key; storing in a data store at least a hash of the ChainStart Value, a hash of the second ChainEnd Value, and the public key as a transaction record entry; causing the first ChainEnd Value of the tag to be replaced with the second ChainEnd Value; and validating the tag's authenticity at a second waypoint along the supply chain path using at least the ChainStart Value, the second ChainEnd Value, and the transaction record entry comprising the hash of the ChainStart Value, a hash of the first ChainEnd Value and the public key. 
   
   ",Sécurité,Steven J. Raynesford,Sensormatic Electronics LLC,Active
https://patents.google.com/patent/US10318780B2,US10318780B2,Encoding and decoding data in two-dimensional symbology,2018-08-08,"Examples, techniques, for, encoding, data, 2D, symbology","
     Examples of techniques for encoding data in a 2D symbology are disclosed. In one example described herein, a computer-implemented method comprises capturing an image of the 2D symbology. The 2D symbology comprises a series of data symbols representing a binary string. Each of the data symbols comprises a line segment, and each data symbol in the series of data symbols are positioned in an end-to-end orientation starting at a starting indicator designated by a first symbol and ending at an ending indicator designated by a second symbol. The first symbol differs from the second symbol, and the series of data symbols comprise 0-bit symbols represented by a first data symbol and 1-bit symbols represented by a second data symbol. The method further comprises extracting the binary string from the 2D symbology by reading each of the data symbols between the starting indicator and the ending indicator. 
   
   ",Autre,"Erich Guenter, Mark E. Maresh, Colm Nolan, Juan F. Vargas, Michael J. Whitney",International Business Machines Corp,Active
https://patents.google.com/patent/US10318781B2,US10318781B2,"Two dimensional barcode with dynamic environmental data system, method, and apparatus",2016-03-30,"Methods,, systems,, apparatus, for, combining, preprinted, information, together, with","
     Methods, systems, and apparatus for combining preprinted information together with coded sensor information within a two-dimensional barcode. The sensor information may be of an environmental, physical or biological nature, and records a change in status of the environmental or biological condition to which the labeled product has been exposed. A sensor dye chemistry is employed and when a specified condition of the sensed property occurs it causes a change in the color state of sensor dye modules embedded within the sensor-augmented two-dimensional barcode, encoding sensor digital information. Sensor information is recovered utilizing the error-correction feature during barcode reading. 
   
   ",Autre,"Thaddeus Prusik, Mohannad Abdo, Clive Hohberger",Lifelines Technology Inc,"Active, expires 2036-08-15"
https://patents.google.com/patent/US10318793B2,US10318793B2,Method for detecting fraud by pre-recorded image projection,2016-10-26,"invention, provides, method, for, detecting, fraud, (, 220","
     The invention provides a method for detecting fraud ( 220 ) during biometric authentication of an individual comprising the acquisition ( 210 ), by an optical device, of a sequence of candidate images comprising at least two candidate images of an individual, with view to comparing said sequence with a reference image sequence comprising at least one reference image of an individual acquired during a preliminary enrollment step ( 100 ) by the same optical device, the method comprising the steps of:
         estimating ( 221 ), from the sequence of candidate images, the geometrical parameters of the optical device having acquired said sequence of candidate images on the individual, and   comparing ( 222 ) said geometrical parameters with the geometrical parameters of the optical device having acquired the reference image sequence, and   from the result of the comparison, determining ( 223, 224 ) whether the verification image sequence was acquired from at least one pre-recorded image of the individual.       

   
   ",Autre,Jean Beaudet,Idemia Identity and Security France SAS,"Active, expires 2037-01-20"
https://patents.google.com/patent/US10318794B2,US10318794B2,Intelligent auto cropping of digital images,2017-04-28,"Disclosed, some, examples, are, methods,, systems,, computing, devices,","
     Disclosed in some examples are methods, systems, computing devices, and machine readable mediums that provide for cropping systems that automatically crop digital images using one or more smart cropping techniques. Smart cropping techniques may include: cropping an image based upon emotion detection, cropping based upon facial recognition and matching, and cropping based upon landmark matching. In some examples, a single smart cropping technique may be utilized. In other examples, a combination of the smart cropping techniques may be utilized. 
   
   ",Intelligence Artificielle,"David Benjamin Lee, Erez Kikin Gil",Microsoft Technology Licensing LLC,Active
https://patents.google.com/patent/US10318796B2,US10318796B2,Age progression of subject facial image,2016-11-10,"Age, progression, test, facial, image, is, facilitated, by","
     Age progression of a test facial image is facilitated by compiling training data, including a training set(s) having selected initial images of subjects by gender and age-group. In addition, the age progression includes manipulating the training data, including: for a given age-group of a training set, substantially aligning respective face shapes; determining a common frame based on the aligned shapes; substantially aligning respective face appearances to generate a shape-free form corresponding to the face appearance of each subject, using the substantially aligned shapes to generate an age-specific shape-dictionary for each age-group, and a common shape-dictionary for the age-groups of the training set, and using the aligned appearances to generate at least an age-specific appearance-dictionary for each age-group, and a common appearance-dictionary for the age-groups of the training set. The age specific appearance dictionary for each age group and the common appearance dictionary facilitate age progression of the facial image. 
   
   ",Intelligence Artificielle,"Saritha Arunkumar, Nalini K. Ratha, Christos SAGONAS, Peter W. Waggett",International Business Machines Corp,"Expired - Fee Related, expires 2037-09-13"
https://patents.google.com/patent/US10318797B2,US10318797B2,Image processing apparatus and image processing method,2016-11-15,"One, aspects, present, invention, discloses, an","
     One of the aspects of the present invention discloses an image processing apparatus and an image processing method. The image processing apparatus comprises: an image acquisition unit configured to acquire an image containing a face; a region location unit configured to locate at least one region which represents attributes of the face in the acquired image; a feature extraction unit configured to extract features from the located regions; and a feature integration unit configured to integrate the features of the located regions which are symmetrical with each other based on symmetry of the face. According to the present invention, the dimension of the features used for image processing could be reduced and the image processing accuracy could be maintained as much as possible. 
   
   ",Autre,"Donghui Sun, Xian Li, Dongchao Wen",Canon Inc,"Active, expires 2037-11-30"
https://patents.google.com/patent/US10318798B2,US10318798B2,Device and method for detecting non-visible content in a non-contact manner,2015-07-10,"method, device, are, provided, for, detecting, non-visible, content","
     A method and device are provided for detecting non-visible content of an object in a non-contact manner. The device includes a light source configured to emit light toward a surface of an object over a period of time. The device also includes an optical sensing component configured to receive a pattern of light from the surface of the object, and to record the received pattern at plural points in time. In addition, the device includes a processing component configured to determine temporal changes in the pattern during the plural points in time, and to detect whether motion is present in the object based on determined temporal changes in the pattern, where the motion represents a frequency source of non-visible content in the object. 
   
   ",Autre,"Zigurts K. MAJUMDAR, Paul C. D'ANGIO, Michael A. PAPAZOGLOU, Allan STEINHARDT, Christopher Hutchens",Booz Allen Hamilton Inc,"Active, expires 2037-03-27"
https://patents.google.com/patent/US10318799B2,US10318799B2,Method of predicting an interest of a user and a system thereof,2017-03-31,"present, disclosure, discloses, method, predicting, an, interest","
     The present disclosure discloses a method of predicting an interest of a user and a system thereof. The method comprises receiving, by the system, a first set of inputs related to the user from a first set of sensors, where one or more features of the user are extracted from the first set of inputs. The method further comprises receiving a second set of inputs related to an environment around the user from a second set of sensors, assigning weights to each input among the first set of inputs, identifying a user behavior associated with each of the one or more features of the user and predicting the interest of the user by correlating the user behavior associated with each of the one or more features of the first set of inputs and the weights assigned to each input among the first set of inputs, thus increasing accuracy of prediction. 
   
   ",Intelligence Artificielle,Saurabh Ramchandrarao Kulkarni,Wipro Ltd,"Active, expires 2037-05-12"
https://patents.google.com/patent/US10318800B2,US10318800B2,Gesture detection and recognition method and system,2016-06-13,"Disclosed, are, gesture, detection, recognition, method, system.","
     Disclosed are a gesture detection and recognition method and system. The gesture detection and recognition method comprises: acquiring and storing an image; adopting a plurality of pre-set classifiers for deleting different gestures to detect each frame of the image according to a pre-set sequence in a frame alternating manner to acquire a gesture target; establishing a skin color model based on the pixel distribution of the region of the gesture target; and acquiring gesture frequencies of the gesture target in a previous state and a later state according to the skin color model, and matching the gesture frequencies with a pre-set gesture state, so that a gesture change state is obtained and output. The gesture detection and recognition method and extract a skin color under specific scene, and can gradually eliminate the influence generated by acute illumination changes, thus realizing the purpose of extracting a gesture change state. 
   
   ",Autre,Hongxin Zhang,Yutou Technology Hangzhou Co Ltd,Active
https://patents.google.com/patent/US10318801B2,US10318801B2,Image processing apparatus and non-transitory computer readable medium,2017-04-21,"An, image, processing, apparatus, includes, first, extraction, unit,","
     An image processing apparatus includes a first extraction unit, a second extraction unit, and a third extraction unit. The first extraction unit extracts a first area in an image that includes plural document images, the first area having low-frequency characteristics. The second extraction unit extracts a second area in the image, the second area having high-frequency characteristics. The third extraction unit extracts areas of the document images by combining the first area and the second area in accordance with whether a background of the image is white. 
   
   ",Autre,Masakazu FUKUNAGA,Fujifilm Business Innovation Corp,"Active, expires 2037-08-04"
https://patents.google.com/patent/US10318802B2,US10318802B2,Worn banknote identification method and ATM using the same,2017-07-24,"present, disclosure, relates, worn, banknote, identification, method","
     The present disclosure relates to a worn banknote identification method and an ATM (Automated Teller Machine) using the same, and more particularly, to a worn banknote identification method which acquires an image of a banknote inserted into an ATM, divides pixels of the acquired banknote image into a bright region and dark region depending on a brightness distribution of the banknote image, determines the wear level of the banknote by comparing a difference between the average brightness values of the two regions to a preset reference value, and separately stores the inserted banknote into a reject box depending on the wear level of the banknote, and an ATM using the same. 
   
   ",Autre,"Eui Sun Choi, Yoon Kill BAEK, Sang Wook BAEK, Sang Hun Lee, Chul Hee Lee","Industry Academic Cooperation Foundation of Yonsei University, Hyosung TNS Inc","Active, expires 2037-08-11"
https://patents.google.com/patent/US10318804B2,US10318804B2,System and method for data extraction and searching,2014-06-30,"Systems, methods, are, provided, for, quickly, efficiently, searching","
     Systems and methods are provided for quickly and efficiently searching and receiving results for real estate-related information without or at least with minimal human processing of real estate-related documents. Optical character recognition on a plurality of scanned document images is performed to obtain a plurality of textual data representations of the real estate-related documents. Data is extracted from the textual data representations, and subsequently contextualized according to a real estate-related context. Aspects of the extracted data as well as the textual data representations are provided as search results based on one or more searches for real estate-related information. 
   
   ",Autre,"Calvin Powell, Chris Rubio, Raza Khan",First American Financial Corp,"Active, expires 2035-11-14"
https://patents.google.com/patent/US10318808B2,US10318808B2,Some automated and semi-automated tools for linear feature extraction in two and three dimensions,2017-08-08,"system, for, vector, extraction, comprising, vector, extraction, engine","
     A system for vector extraction comprising a vector extraction engine stored and operating on a network-connected computing device that loads raster images from a database stored and operating on a network-connected computing device, identifies features in the raster images, and computes a vector based on the features, and methods for feature and vector extraction. 
   
   ",Autre,"Jacek Grodecki, Seth Malitz, Josh Nolting",Maxar Intelligence Inc,Active
https://patents.google.com/patent/US10318809B2,US10318809B2,Unmanned aircraft structure evaluation system and method,2018-07-30,"computerized, system,, comprising:, computer, system, having, an, input","
     A computerized system, comprising: a computer system having an input unit, a display unit, one or more processors and one or more non-transitory computer readable medium, the one or more processors executing image display and analysis software to cause the one or more processors to: receive an identification of a structure from the input device, the structure having multiple sides, an outline, and a height; obtain characteristics of a camera mounted onto an unmanned aircraft; generate unmanned aircraft information including: flight path information configured to direct the unmanned aircraft to fly a flight path around the structure that is laterally and vertically offset from the structure, the lateral and vertical offset being dependent upon the height of the structure, an orientation of the camera relative to the unmanned aircraft, and the characteristics of the camera; and, store the unmanned aircraft information on the one or more non-transitory computer readable medium. 
   
   ",Autre,"Stephen L. Schultz, John Monaco",Pictometry International Corp,Active
https://patents.google.com/patent/US10318810B2,US10318810B2,Systems and methods for determining statistics plant populations based on overhead optical measurements,2016-09-16,"This, disclosure, describes, system, method, for, determining","
     This disclosure describes a system and a method for determining statistics of plant populations based on overhead optical measurements. The system may include one or more hardware processors configured by machine-readable instructions to receive output signals provided by one or more remote sensing devices mounted to an overhead platform. The output signals may convey information related to one or more images of a land area where crops are grown. The one or more hardware processors may be configured by machine-readable instructions to distinguish vegetation from background clutter; segregate image regions corresponding to the vegetation from image regions corresponding to the background clutter; and determine a plant count per unit area. 
   
   ",Télécommunications,"Michael Ritter, Michael Milton, Peter Matusov",Slantrange Inc,Active
https://patents.google.com/patent/US10318812B2,US10318812B2,Automatic digital image correlation and distribution,2016-06-21,"Embodiments, present, invention, provide, systems, methods, for","
     Embodiments of the present invention provide systems and methods for image correlation and distribution. The method includes receiving an image depicting at least one person, metadata for the image, contact data, facial recognition data, and location data. The method further includes analyzing the image and other data, and determining the identity of people in the image based on the facial recognition data and the location data. 
   
   ",Intelligence Artificielle,"Kulvir S. Bhogal, II Rick A. Hamilton, Yin Xia, Yu Lin Zhai",International Business Machines Corp,"Active, expires 2036-07-18"
https://patents.google.com/patent/US10318814B2,US10318814B2,Framework for combining content intelligence modules,2015-08-03,"method, for, analyzing, media, assets, such, as, video","
     A method for analyzing media assets such as video and audio files. The method includes providing access to all the frames of a digital media asset. The method includes, with a microprocessor, running a raw analyzer modules to analyze the asset frames to produce sets of raw analyzer result data that are stored in a data cache in a file associated with the asset. The sets of raw analyzer results are linked to the raw analyzer modules with unique identifiers. The digital media asset is played for the raw analyzer modules, which concurrently analyze the temporally-related frames. The raw analyzer results are stored as data tracks that include metadata for the asset such as immutable parameters including histograms. The method includes using a feature algorithm module to generate an analysis result, such as face identification, for the digital media asset based on the raw analyzer results accessed by the identifiers. 
   
   ",Intelligence Artificielle,"Martin Schmitz, Hartmut Warncke, Sven Winter",Adobe Inc,Active
https://patents.google.com/patent/US10318818B2,US10318818B2,Method and apparatus for detecting suspicious activity using video analysis,2015-11-24,"system, detects, transaction, outcome, by, obtaining, video, data","
     A system detects a transaction outcome by obtaining video data associated with a transaction area and analyzing the video data to obtain at least one video transaction parameter concerning transactions associated with the transaction area. The transaction area can be a video count of items indicated in the video data as detected by an automated item detection algorithm applied to the video data. The system obtains at least one expected transaction parameter concerning an expected transaction that occurs in the transaction area, such as a scan count of items scanned at a point of sale terminal. The system automatically compares the video transaction parameter(s) to the expected transaction parameter(s) to identify a transaction outcome that may indicate fraudulent activity such as sweethearting in a retail environment. 
   
   ",Intelligence Artificielle,"Malay Kundu, Vikram Srinivasan, Joshua Migdal, Xiaowei Chen",NCR Voyix Corp,Active
https://patents.google.com/patent/US10318821B2,US10318821B2,Driver assistance for a vehicle,2016-03-25,"Disclosed, are, systems, techniques, for, automated, driver, assistance","
     Disclosed are systems and techniques for automated driver assistance in a vehicle having an Idle Stop and Go (ISG) function that controls an engine of the vehicle. A driver assistance apparatus includes at least one object detection sensor configured to acquire an image of a view ahead of the vehicle or a view around the vehicle, and a processor configured to detect information from the acquired image. The processor determines navigation information related to the vehicle, and provides a control signal to enable or disable the ISG function based on at least one of the information detected from the acquired image or the navigation information. 
   
   ",Télécommunications,"Jeongsu Kim, Hyeonju BAE",LG Electronics Inc,Active
https://patents.google.com/patent/US10318822B2,US10318822B2,Object tracking,2017-04-06,"Methods, systems, are, provided, for, tracking, an, object.","
     Methods and systems are provided for tracking an object. The system includes a data receiving module receiving two dimensional imaging data including an object and height map data correlating ground height and location. A two dimensions to three dimensions transformation module determines a location of the object in three dimensional space based on the two dimensional imaging data and the height map data. A tracking module tracks the object using the location of the object. 
   
   ",Autre,"Peter Gao, Gautier Minster, Elliot Branson, Stuart Glaser",GM Global Technology Operations LLC,"Active, expires 2037-05-14"
https://patents.google.com/patent/US10318823B2,US10318823B2,Forward-facing multi-imaging system for navigating a vehicle,2014-10-14,"Systems, methods, use, cameras, provide, autonomous, navigation, features.","
     Systems and methods use cameras to provide autonomous navigation features. In one implementation, a driver-assist system is provided for a vehicle. The system may include one or more image capture devices configured to acquire images of an area forward of the vehicle. The system may also include at least one processing device configured to receive, via one or more data interfaces, the images. The at least one processing device may be further configured to analyze the images acquired by the one or more image capture devices and cause at least one navigational response in the vehicle based on monocular and/or stereo image analysis of the images. 
   
   ",Intelligence Artificielle,"Amnon Shashua, Gaby Hayon, Yossi Hadad, Efim Belman, Eyal Bagon",Mobileye Vision Technologies Ltd,Active
https://patents.google.com/patent/US10318826B2,US10318826B2,Rear obstacle detection and distance estimation,2016-10-07,"disclosure, relates, systems, methods, for, estimating, or","
     The disclosure relates to systems and methods for estimating or determining the motion of a vehicle and/or the distance to objects within view of a rear camera. A method for rear obstacle detection using structure from motion includes identifying image features in a first frame corresponding to features in a second frame, wherein the first frame and the second frame comprise adjacent image frames captured by a rear-facing camera of a vehicle. The method includes determining parameters for a non-planar motion model based on the image features. The method includes determining camera motion based on the parameters for the non-planar motion model. 
   
   ",Autre,"Yi Zhang, Vidya Nariyambut murali, Madeline J Goh",Ford Global Technologies LLC,"Expired - Fee Related, expires 2037-05-02"
https://patents.google.com/patent/US10318827B2,US10318827B2,Object detection neural networks,2016-12-19,"Methods,, systems,, apparatus,, including, computer, programs, encoded, on, computer","
     Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating object detection predictions from a neural network. In some implementations, an input characterizing a first region of an environment is obtained. The input includes a projected laser image generated from a three-dimensional laser sensor reading of the first region, a camera image patch generated from a camera image of the first region, and a feature vector of features characterizing the first region. The input is processed using a high precision object detection neural network to generate a respective object score for each object category in a first set of one or more object categories. Each object score represents a respective likelihood that an object belonging to the object category is located in the first region of the environment. 
   
   ",Intelligence Artificielle,"Zhaoyin Jia, Ury Zhilinsky, Yun Jiang, Yimeng Zhang",Waymo LLC,"Active, expires 2037-05-05"
https://patents.google.com/patent/US10318828B2,US10318828B2,Vehicle behavior analysis,2013-12-19,"Embodiments, are, disclosed, for, identifying, potentially, erratic, vehicles, travelling, near","
     Embodiments are disclosed for identifying potentially erratic vehicles travelling near a vehicle including an in-vehicle computing system. In some embodiments, an in-vehicle computing system for a vehicle includes a processor, a sensor subsystem communicatively coupleable to a camera mounted on the vehicle, and an external device interface communicatively coupleable to an extra-vehicle server. The in-vehicle computing system may also include a storage device storing instructions executable by the processor to monitor neighboring vehicles within a field of view of the camera, identify a potential erratic vehicle, and transmit vehicle information to the extra-vehicle server. 
   
   ",Intelligence Artificielle,Vallabha Hampiholi,Harman International Industries Inc,"Active, expires 2035-06-30"
https://patents.google.com/patent/US10318830B2,US10318830B2,"Passenger counting device, system, method and program",2016-03-17,"passenger, counting, system, includes:, first, photographing, means, 30","
     A passenger counting system includes: a first photographing means  30  for photographing a vehicle and acquiring a first image; a second photographing means  31  for photographing the vehicle in a state of receiving only light of a first specific wavelength band and acquiring a second image; and a passenger counting device  200 . The passenger counting device  200  includes: an image separation means  42  for acquiring a plurality of separate images based on the first image and the second image; and a passenger number determination means  43  for determining the number of passengers of the vehicle based on the plurality of separate images. 
   
   ",Autre,Shinichi Miyamoto,NEC Corp,Active
https://patents.google.com/patent/US10318833B2,US10318833B2,System and method for person identification and personality assessment based on EEG signal,2016-01-18,"present, invention, relates, novel, system, method, for","
     The present invention relates a novel system and method for person identification and personality assessment based on electroencephalography (EEG) signal. More particularly, this invention relates to a novel method of EEG recording and processing to map the inherent and unique properties of brain in the form of highly specific brain signature to be used as means for person identification and personality assessment. 
   
   ",Télécommunications,"Puneet Agarwal, Siddharth Panwar, Shiv Dutt Joshi, Anubha Gupta",Individual,Active
https://patents.google.com/patent/US10318834B2,US10318834B2,Optimized image feature extraction,2017-05-01,"One, embodiment, provides, an, image, processing, circuitry., image, processing","
     One embodiment provides an image processing circuitry. The image processing circuitry includes a feature extraction circuitry and an optimization circuitry. The feature extraction circuitry is to determine a feature descriptor based, at least in part, on a feature point location and a corresponding scale. The optimization circuitry is to optimize an operation of the feature extraction circuitry. Each optimization is to at least one of accelerate the operation of the feature extraction circuitry, reduce a power consumption of the feature extraction circuitry and/or reduce a system memory bandwidth used by the feature extraction circuitry. 
   
   ",Autre,"Gurpreet S. Kalsi, Om J. Omer, Biji George, Gopi Neela, Dipan Kumar Mandal, Sreenivas Subramoney",Intel Corp,"Expired - Fee Related, expires 2037-06-03"
https://patents.google.com/patent/US10318835B2,US10318835B2,Extraction of data from a digital image,2018-03-07,"Capturing, information, from, an, imprinted, item, comprises, computing, device","
     Capturing information from an imprinted item comprises a computing device that receives an image of a back side of an imprinted item, the payment instrument comprising information imprinted thereon such that the imprinted information protrudes from a front side of the imprinted item and the imprinted information is indented into the back side of the imprinted item. The computing device extracts sets of characters from the image of the back side of the imprinted item based on the imprinted information indented into the back side of the imprinted item and depicted in the image of the back side of the imprinted item. The computing device applies a first character recognition application to process the sets of characters extracted from the image of the back side of the imprinted item and categorizes each of the sets of characters into one of a plurality of categories relating to the information. 
   
   ",Autre,"Henry Allan Rowley, Ashok Chhabedia Popat, Michael Edward Jahr, Zhifei Li",Google LLC,Expired - Fee Related
